Company,TypeName,Ram,Gpu,OpSys,Weight,Price,TouchScreen,IPS,PPI,Cpu_Brand,HDD,SSD
Lenovo,2 in 1 Convertible,16,0,0,1.4,11.497971408335056,1,1,316.97,7,0,512
Toshiba,Notebook,8,0,0,2.0,10.651407915643352,0,0,100.45,5,0,128
Xiaomi,Notebook,8,2,2,1.95,11.064819834822508,0,1,141.21,5,0,256
Dell,Notebook,16,2,0,2.77,11.320937983275899,1,0,127.34,7,0,512
Dell,Notebook,16,2,0,2.06,11.757542090743819,1,0,282.42,7,0,512
Lenovo,Gaming,8,2,2,2.4,10.633596165225693,0,1,141.21,5,0,256
Acer,Ultrabook,8,0,0,1.12,10.87227433519628,0,1,165.63,5,0,256
Dell,Notebook,8,1,0,2.8,10.964913590461473,0,0,127.34,7,1000,128
Lenovo,2 in 1 Convertible,16,0,0,1.42,11.92147727098776,1,0,209.8,7,0,1000
Vero,Notebook,4,0,0,1.3,9.536314842214452,0,1,157.35,1,0,0
Xiaomi,Ultrabook,8,2,2,1.3,10.883235070683604,0,1,165.63,5,0,256
Lenovo,Notebook,8,2,2,2.8,10.523807017986531,0,0,106.11,5,0,256
Dell,2 in 1 Convertible,8,0,0,1.62,10.707794102852903,1,1,165.63,7,1000,0
HP,Notebook,8,2,0,2.5,10.793412132233401,0,1,127.34,5,1000,0
Razer,Gaming,32,2,0,3.49,12.691444205875678,1,0,254.67,7,0,1000
HP,Notebook,8,0,0,1.49,10.841471672111513,0,0,165.63,5,0,512
HP,Gaming,16,2,0,3.35,11.204688514352517,0,1,127.34,7,1000,256
HP,Notebook,8,2,0,2.5,10.927351151014033,0,0,127.34,7,0,256
Dell,Gaming,16,2,0,2.65,11.49580575542942,0,1,282.42,7,1000,512
Lenovo,Notebook,4,0,0,2.1,10.176108270075046,0,0,100.45,5,0,128
Acer,Notebook,8,2,0,2.23,10.58493556391622,0,0,141.21,7,1000,0
Lenovo,Gaming,16,2,0,3.2,11.442371232335963,0,1,141.21,7,1000,512
Dell,Workstation,16,2,0,2.8,12.000102041442123,0,0,282.42,1,1000,256
Lenovo,Gaming,16,2,2,2.4,11.21837237437838,0,0,141.21,7,0,512
Dell,Notebook,6,0,0,2.3,10.060103191853011,1,0,100.45,3,1000,0
Dell,Ultrabook,8,0,0,1.21,11.550642355641386,1,1,331.26,7,0,256
Dell,Ultrabook,8,0,0,1.2,11.25420292138043,0,0,165.63,7,0,256
Lenovo,Notebook,8,0,0,2.2,10.367509577604206,0,0,100.45,5,0,256
Acer,Notebook,8,2,2,2.4,10.633596165225693,0,0,141.21,7,1000,0
Asus,Gaming,16,2,0,2.9,11.22478942282313,0,0,127.34,7,1000,256
HP,Notebook,4,0,2,2.1,9.830686725695612,0,0,141.21,3,500,0
Lenovo,Notebook,8,0,2,2.2,10.283693654349953,0,0,141.21,5,0,256
Huawei,Ultrabook,8,0,0,1.05,11.288127045116099,0,1,199.69,7,0,512
Dell,Ultrabook,8,1,0,1.4,10.812785217817558,0,1,165.63,7,0,256
Lenovo,Notebook,8,2,2,2.8,10.354019074857808,0,0,106.11,5,1000,0
HP,Notebook,8,2,0,1.63,10.91386371451479,0,0,157.35,7,0,256
Dell,Ultrabook,8,0,0,1.6,11.022224638820209,0,0,157.35,5,0,256
Dell,2 in 1 Convertible,16,0,0,1.62,11.12940950226841,1,0,165.63,7,0,512
Dell,Notebook,8,1,2,2.2,10.49377686098958,0,0,141.21,5,0,256
Lenovo,2 in 1 Convertible,8,0,0,1.74,10.776864937870439,0,1,157.35,5,0,256
Toshiba,Ultrabook,8,0,0,1.2,11.19301822802371,0,0,165.63,7,0,256
HP,Notebook,8,0,0,2.1,10.65266812544771,0,0,141.21,5,1000,0
Dell,Gaming,16,2,0,4.42,11.781996383319656,0,1,127.34,7,1000,256
Acer,Notebook,8,2,0,2.2,10.699416025415209,0,0,141.21,7,0,256
Dell,Notebook,16,1,0,2.3,10.73136343865531,1,0,141.21,7,1000,0
Asus,Notebook,8,2,0,2.0,10.620676402161354,0,0,141.21,5,0,256
Asus,Notebook,8,2,0,2.69,10.767926518316962,0,0,127.34,5,500,256
HP,Notebook,8,1,0,1.9,11.121560284041063,0,0,141.21,7,1000,0
Asus,Notebook,4,0,0,2.37,9.964544419744591,0,0,100.45,3,1000,0
HP,Notebook,4,1,0,2.1,9.77471055413221,0,0,100.45,2,500,0
Lenovo,Gaming,16,2,0,3.2,11.288127045116099,0,1,141.21,7,1000,256
Dell,Notebook,8,0,0,1.6,10.731351797533883,0,0,157.35,5,0,256
Acer,2 in 1 Convertible,8,0,0,1.6,10.510829537468052,1,1,165.63,5,0,256
Dell,Notebook,16,1,2,2.36,10.776864937870439,0,0,141.21,7,0,256
Acer,Notebook,4,0,2,2.1,9.941755889245979,0,0,100.45,3,1000,0
Asus,Notebook,4,1,0,2.2,10.329963707833757,0,0,141.21,2,1000,128
Asus,Gaming,32,2,0,4.7,12.241730287709276,0,0,127.34,7,1000,512
Acer,Gaming,8,2,0,2.5,10.71610257089814,0,1,141.21,5,0,256
Lenovo,Notebook,8,0,0,2.2,10.354019074857808,0,0,100.45,3,0,128
Asus,Notebook,8,2,0,2.1,11.018737334023916,0,0,127.34,7,1000,128
Asus,Notebook,8,2,2,2.69,10.765679373749014,0,0,127.34,7,1000,128
Dell,Gaming,8,2,0,2.56,10.754367276099781,0,0,141.21,5,0,256
Lenovo,2 in 1 Convertible,8,0,0,1.38,10.959368385934692,1,1,158.48,7,0,256
Dell,Notebook,8,1,0,2.2,10.868221721810269,0,0,141.21,7,2000,128
HP,Notebook,8,0,0,2.04,10.301744074438556,1,0,100.45,5,1000,0
Asus,Gaming,16,2,0,3.6,11.98160146330393,0,0,127.34,7,0,256
HP,Notebook,4,0,0,1.49,10.490301522301456,0,1,165.63,5,500,0
Apple,Ultrabook,8,0,1,1.37,11.59627531340492,0,1,226.98,5,0,512
Dell,2 in 1 Convertible,8,0,0,2.08,10.683668026512203,1,1,141.21,7,1000,0
Asus,Gaming,16,2,0,4.3,11.470557693018055,0,0,127.34,7,1000,256
Asus,Notebook,4,1,0,1.68,10.126203812574422,0,0,100.45,2,1000,0
