Company,TypeName,Ram,Gpu,OpSys,Weight,TouchScreen,IPS,PPI,Cpu_Brand,HDD,SSD
Acer,Notebook,4,0,0,2.1,0,0,100.45,3,0,128
MSI,Gaming,32,2,0,4.4,0,0,119.72,7,1000,512
Lenovo,Notebook,8,1,0,1.9,0,0,141.21,5,1000,128
HP,2 in 1 Convertible,8,0,0,1.29,1,1,331.26,5,0,256
Dell,Notebook,16,1,2,2.02,0,0,141.21,7,2000,256
Dell,Ultrabook,8,0,0,1.23,0,0,165.63,5,0,256
Lenovo,2 in 1 Convertible,16,0,0,1.4,1,1,316.97,7,0,512
Toshiba,Notebook,8,0,0,2.0,0,0,100.45,5,0,128
Xiaomi,Notebook,8,2,2,1.95,0,1,141.21,5,0,256
Dell,Notebook,16,2,0,2.77,1,0,127.34,7,0,512
Dell,Notebook,16,2,0,2.06,1,0,282.42,7,0,512
Lenovo,Gaming,8,2,2,2.4,0,1,141.21,5,0,256
Acer,Ultrabook,8,0,0,1.12,0,1,165.63,5,0,256
Dell,Notebook,8,1,0,2.8,0,0,127.34,7,1000,128
Lenovo,2 in 1 Convertible,16,0,0,1.42,1,0,209.8,7,0,1000
Vero,Notebook,4,0,0,1.3,0,1,157.35,1,0,0
Xiaomi,Ultrabook,8,2,2,1.3,0,1,165.63,5,0,256
Lenovo,Notebook,8,2,2,2.8,0,0,106.11,5,0,256
Dell,2 in 1 Convertible,8,0,0,1.62,1,1,165.63,7,1000,0
HP,Notebook,8,2,0,2.5,0,1,127.34,5,1000,0
Razer,Gaming,32,2,0,3.49,1,0,254.67,7,0,1000
HP,Notebook,8,0,0,1.49,0,0,165.63,5,0,512
HP,Gaming,16,2,0,3.35,0,1,127.34,7,1000,256
HP,Notebook,8,2,0,2.5,0,0,127.34,7,0,256
Dell,Gaming,16,2,0,2.65,0,1,282.42,7,1000,512
Lenovo,Notebook,4,0,0,2.1,0,0,100.45,5,0,128
Acer,Notebook,8,2,0,2.23,0,0,141.21,7,1000,0
Lenovo,Gaming,16,2,0,3.2,0,1,141.21,7,1000,512
Dell,Workstation,16,2,0,2.8,0,0,282.42,1,1000,256
Lenovo,Gaming,16,2,2,2.4,0,0,141.21,7,0,512
Dell,Notebook,6,0,0,2.3,1,0,100.45,3,1000,0
Dell,Ultrabook,8,0,0,1.21,1,1,331.26,7,0,256
Dell,Ultrabook,8,0,0,1.2,0,0,165.63,7,0,256
Lenovo,Notebook,8,0,0,2.2,0,0,100.45,5,0,256
Acer,Notebook,8,2,2,2.4,0,0,141.21,7,1000,0
Asus,Gaming,16,2,0,2.9,0,0,127.34,7,1000,256
HP,Notebook,4,0,2,2.1,0,0,141.21,3,500,0
Lenovo,Notebook,8,0,2,2.2,0,0,141.21,5,0,256
Huawei,Ultrabook,8,0,0,1.05,0,1,199.69,7,0,512
Dell,Ultrabook,8,1,0,1.4,0,1,165.63,7,0,256
Lenovo,Notebook,8,2,2,2.8,0,0,106.11,5,1000,0
HP,Notebook,8,2,0,1.63,0,0,157.35,7,0,256
Dell,Ultrabook,8,0,0,1.6,0,0,157.35,5,0,256
Dell,2 in 1 Convertible,16,0,0,1.62,1,0,165.63,7,0,512
Dell,Notebook,8,1,2,2.2,0,0,141.21,5,0,256
Lenovo,2 in 1 Convertible,8,0,0,1.74,0,1,157.35,5,0,256
Toshiba,Ultrabook,8,0,0,1.2,0,0,165.63,7,0,256
HP,Notebook,8,0,0,2.1,0,0,141.21,5,1000,0
Dell,Gaming,16,2,0,4.42,0,1,127.34,7,1000,256
Acer,Notebook,8,2,0,2.2,0,0,141.21,7,0,256
Dell,Notebook,16,1,0,2.3,1,0,141.21,7,1000,0
Asus,Notebook,8,2,0,2.0,0,0,141.21,5,0,256
Asus,Notebook,8,2,0,2.69,0,0,127.34,5,500,256
HP,Notebook,8,1,0,1.9,0,0,141.21,7,1000,0
Asus,Notebook,4,0,0,2.37,0,0,100.45,3,1000,0
HP,Notebook,4,1,0,2.1,0,0,100.45,2,500,0
Lenovo,Gaming,16,2,0,3.2,0,1,141.21,7,1000,256
Dell,Notebook,8,0,0,1.6,0,0,157.35,5,0,256
Acer,2 in 1 Convertible,8,0,0,1.6,1,1,165.63,5,0,256
Dell,Notebook,16,1,2,2.36,0,0,141.21,7,0,256
Acer,Notebook,4,0,2,2.1,0,0,100.45,3,1000,0
Asus,Notebook,4,1,0,2.2,0,0,141.21,2,1000,128
Asus,Gaming,32,2,0,4.7,0,0,127.34,7,1000,512
Acer,Gaming,8,2,0,2.5,0,1,141.21,5,0,256
Lenovo,Notebook,8,0,0,2.2,0,0,100.45,3,0,128
Asus,Notebook,8,2,0,2.1,0,0,127.34,7,1000,128
Asus,Notebook,8,2,2,2.69,0,0,127.34,7,1000,128
Dell,Gaming,8,2,0,2.56,0,0,141.21,5,0,256
Lenovo,2 in 1 Convertible,8,0,0,1.38,1,1,158.48,7,0,256
Dell,Notebook,8,1,0,2.2,0,0,141.21,7,2000,128
HP,Notebook,8,0,0,2.04,1,0,100.45,5,1000,0
Asus,Gaming,16,2,0,3.6,0,0,127.34,7,0,256
HP,Notebook,4,0,0,1.49,0,1,165.63,5,500,0
Apple,Ultrabook,8,0,1,1.37,0,1,226.98,5,0,512
Dell,2 in 1 Convertible,8,0,0,2.08,1,1,141.21,7,1000,0
Asus,Gaming,16,2,0,4.3,0,0,127.34,7,1000,256
Asus,Notebook,4,1,0,1.68,0,0,100.45,2,1000,0
Lenovo,2 in 1 Convertible,8,0,0,1.37,1,1,158.48,7,0,512
Acer,Notebook,4,2,0,3.0,0,1,127.34,3,0,256
Dell,Ultrabook,8,0,0,1.41,0,0,165.63,5,0,256
HP,Notebook,8,1,0,1.91,0,0,100.45,2,0,128
HP,Notebook,16,2,0,2.9,0,1,127.34,7,1000,0
MSI,Gaming,16,2,0,4.14,0,0,127.34,7,1000,512
Lenovo,2 in 1 Convertible,8,2,0,2.0,1,1,141.21,7,0,512
Dell,Notebook,8,1,0,2.8,0,0,127.34,7,1000,128
Lenovo,Notebook,4,0,2,2.2,0,0,141.21,3,0,256
HP,Notebook,4,0,0,2.1,0,1,141.21,5,500,0
Dell,Notebook,4,0,0,2.18,0,0,141.21,5,1000,0
Dell,Notebook,8,1,0,2.24,0,0,141.21,5,1000,0
Dell,2 in 1 Convertible,8,0,0,2.67,1,0,141.21,5,0,256
Asus,2 in 1 Convertible,8,0,0,1.1,1,0,165.63,7,0,1024
Lenovo,Notebook,4,0,2,2.2,0,0,141.21,5,1000,0
HP,Notebook,8,2,0,2.5,0,0,127.34,7,1000,0
Lenovo,Notebook,8,0,0,2.05,0,0,141.21,7,0,256
Apple,Ultrabook,8,0,1,1.37,0,1,226.98,5,0,512
Asus,Gaming,16,1,0,3.2,0,0,127.34,2,1000,256
Dell,Notebook,8,1,2,2.14,0,0,141.21,7,0,256
Lenovo,2 in 1 Convertible,16,0,0,1.36,1,0,209.8,7,0,512
Toshiba,Notebook,8,2,0,2.2,0,0,100.45,7,500,0
Dell,Notebook,12,0,0,2.3,0,0,100.45,7,1000,0
Dell,Notebook,8,1,2,2.8,0,0,127.34,7,1000,128
Acer,Notebook,8,2,0,2.2,0,1,141.21,7,1000,0
Lenovo,Notebook,4,0,0,2.8,0,0,106.11,3,1000,0
Lenovo,Notebook,8,2,2,2.8,0,0,127.34,7,2000,0
Lenovo,Notebook,6,2,0,2.8,0,0,106.11,7,1000,128
Dell,Notebook,4,1,2,2.25,0,0,141.21,3,1000,0
Lenovo,Gaming,8,2,0,2.5,0,1,141.21,5,0,256
Lenovo,Notebook,6,0,0,2.2,0,0,141.21,5,0,256
Acer,Notebook,8,2,0,3.0,0,1,141.21,7,0,256
Acer,Notebook,12,0,0,2.15,1,1,141.21,7,1000,0
Lenovo,Notebook,8,0,0,1.95,0,1,141.21,7,0,256
Asus,Ultrabook,8,2,0,1.7,0,0,141.21,5,0,256
Lenovo,Gaming,16,2,0,2.5,0,1,141.21,7,1000,256
Lenovo,Notebook,8,2,2,2.2,0,0,141.21,7,1000,0
Acer,Notebook,2,0,2,2.19,0,0,100.45,1,0,16
Asus,Gaming,8,2,0,3.0,0,0,127.34,7,1000,0
HP,Notebook,8,0,0,2.54,0,0,106.11,3,1000,0
Dell,Notebook,8,2,0,2.0,0,0,141.21,7,0,256
Lenovo,Notebook,8,0,0,2.05,0,0,141.21,5,0,256
Lenovo,Gaming,8,2,0,3.2,0,1,141.21,7,1000,0
Acer,Notebook,8,2,2,2.5,0,0,141.21,7,0,256
Dell,Workstation,16,2,0,3.42,0,0,127.34,7,0,256
Lenovo,Notebook,6,1,0,2.4,0,0,141.21,2,1000,0
Asus,Ultrabook,16,2,0,1.63,0,0,141.21,7,0,512
Asus,Notebook,4,0,0,1.3,0,0,111.94,3,0,128
Asus,Gaming,16,2,0,2.9,0,0,127.34,7,1000,256
Lenovo,Notebook,6,2,0,2.8,0,0,106.11,5,1000,0
Lenovo,Notebook,8,2,2,2.2,0,0,100.45,5,2000,0
Asus,Gaming,8,2,0,2.5,0,0,141.21,7,1000,128
Lenovo,Notebook,4,0,2,2.2,0,0,100.45,1,1000,0
HP,2 in 1 Convertible,16,0,0,1.28,1,0,165.63,7,0,256
Toshiba,Notebook,8,2,0,2.2,0,1,141.21,7,0,256
Lenovo,Notebook,8,2,0,2.3,0,0,141.21,5,1000,128
HP,Notebook,4,0,0,1.86,0,0,141.21,3,1000,0
Lenovo,Notebook,8,0,0,1.1,0,1,165.63,5,0,256
Dell,Ultrabook,16,0,0,1.21,1,1,331.26,7,0,1000
MSI,Gaming,16,2,0,2.8,0,1,141.21,7,1000,256
Acer,Notebook,8,1,0,2.23,0,0,141.21,2,0,256
Asus,2 in 1 Convertible,2,0,0,1.1,1,0,135.09,1,0,0
Dell,Notebook,8,1,0,2.33,0,0,141.21,5,1000,128
HP,2 in 1 Convertible,16,0,0,1.29,1,1,331.26,7,0,1000
Lenovo,Notebook,4,0,2,1.45,0,0,117.83,1,0,0
HP,Notebook,8,0,0,1.95,0,0,157.35,5,0,256
Acer,Notebook,4,0,0,1.4,0,0,135.09,1,0,0
HP,Notebook,8,0,0,1.48,0,0,157.35,7,0,256
Lenovo,Notebook,4,2,0,2.79,0,0,106.11,5,1000,0
Asus,Notebook,8,0,0,2.0,0,0,157.35,7,0,256
HP,Notebook,8,0,0,2.1,0,1,100.45,7,1000,0
Acer,Notebook,8,1,0,2.2,0,0,100.45,2,0,256
Lenovo,Notebook,4,0,0,1.44,0,0,111.94,1,0,0
Acer,Notebook,6,0,0,2.23,0,0,100.45,5,1000,0
Asus,Ultrabook,8,2,0,1.7,0,0,141.21,7,0,256
HP,Ultrabook,8,0,0,1.26,0,0,176.23,7,0,256
Dell,Notebook,32,2,0,2.06,1,0,282.42,7,0,1000
MSI,Gaming,8,2,0,2.7,0,0,127.34,7,1000,256
Toshiba,Notebook,8,0,0,2.0,0,1,141.21,5,0,256
Asus,Notebook,8,0,0,2.0,0,0,157.35,7,1000,256
Lenovo,Notebook,4,0,0,1.85,0,0,141.21,3,1000,0
Asus,Gaming,8,2,0,2.5,0,0,141.21,7,0,256
HP,Notebook,8,0,0,1.48,0,0,157.35,5,0,256
Dell,Ultrabook,8,2,0,1.9,0,1,141.21,5,1000,128
HP,Notebook,8,0,0,1.84,0,0,141.21,5,0,256
Asus,Notebook,4,0,2,2.0,0,0,100.45,1,1000,0
Dell,Notebook,8,2,0,2.0,0,0,141.21,5,0,256
Dell,Notebook,4,0,2,2.2,0,0,100.45,1,500,0
Lenovo,Notebook,12,1,0,2.2,0,0,141.21,2,2000,0
HP,Notebook,8,2,0,2.1,0,1,141.21,3,1000,0
Lenovo,2 in 1 Convertible,16,0,0,1.4,1,1,316.97,7,0,512
Dell,Ultrabook,8,0,0,1.2,0,0,165.63,7,0,256
Lenovo,Gaming,16,2,0,2.4,0,1,141.21,7,2000,256
HP,Notebook,2,0,0,1.44,0,0,111.94,1,0,0
Dell,Ultrabook,16,0,0,1.88,0,0,141.21,7,0,768
Asus,2 in 1 Convertible,4,0,0,1.5,1,0,135.09,1,0,0
Dell,Ultrabook,8,1,0,1.9,0,0,141.21,5,1000,0
Dell,Notebook,16,2,0,2.06,1,0,282.42,7,0,512
HP,Notebook,8,0,0,1.84,0,0,141.21,7,0,256
MSI,Gaming,8,2,0,2.7,0,0,127.34,7,1000,128
